Id,Name,Description,Observation,Unity,Created at,Updated at,supply_area_id
27,Aguja sutura acero G Nº 211 calibre 6 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 6.
", - ,Sobre, - ,21 de Agosto de 2015 06:51,485
28,Aguja sutura acero G Nº 211 calibre 8 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 8.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
29,Aguja sutura acero G Nº 211 calibre 9 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 9., - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
30,Aguja sutura acero G Nº 211 calibre 10 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 10.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
31,Aguja sutura acero G Nº 211 calibre 6 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 6.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
32,Aguja sutura acero G Nº 311 calibre 8 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redonda circular G Nº 311 calibre 8.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
33,Aguja sutura acero G Nº 311 calibre 10 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular G Nº311 calibre 10.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
34,Aguja sutura acero G Nº 311 calibre 12 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular G Nº311 calibre 12.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
35,Aguja sutura acero G Nº 311 calibre 14 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular G Nº311 calibre 14.
", - ,Sobre, - ,21 de Agosto de 2015 06:42,742
36,Aguja sutura acero GA Nº 213 calibre 5 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular GA Nº 213 calibre 5.
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
37,Aguja sutura acero ga Nº 213 calibre 9 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular GA Nº 213 calibre 9., - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
38,Aguja sutura acero GA Nº 313 calibre 7 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular GA Nº 313  calibre 7, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
39,Aguja sutura acero GA Nº 313 calibre 8 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular GA Nº 313  calibre 8, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
40,Aguja sutura acero GA Nº 313 calibre 9 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular GA Nº 313  calibre 9, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
41,Aguja sutura acero PB Nº 331 calibre 0 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular PB Nº 331  calibre 0, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
42,Aguja sutura acero PB Nº 331 calibre 2 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular PB Nº 331  calibre 12, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
43,Aguja sutura acero PB Nº 331 calibre 4 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular PB Nº 331  calibre 4
", - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
44,Aguja sutura acero PB Nº 331 calibre 6 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo circular PB Nº 331  calibre 6, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
45,Aguja sutura acero PB Nº 331 calibre 8 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfilredondo circular PB Nº 331  calibre 8, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
46,"Acido Poliglicolico calibre 1 con 1 aguja CT-1, HR-37s ó GS-11","Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina, Calibre 1, con 1 (una) aguja 1/2  círculo punta redonda   de  35 a 37 mm. Tipo CT-1, HR-37s ó GS-11. Hebra 70 a 75 cm.  Que indique método de esterilización y fecha de vencimiento en cada unidad.  
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
47,Acido Poliglicolico calibre 2/0 con 1 aguja SH o HR-26 o GS-10/V-20,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina 910 con Calibre  2/0, con 1 (una) aguja 1/2 círculo punta redonda, de 25 a 26 mm.  Tipo SH o HR-26 o GS-10/V-20. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
48,Acido Poliglicolico calibre 3/0 con 1 aguja SH-1 o HR-22 o CV-25,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina 910 Calibre 3/0, con 1 (una) aguja 1/2 círculo, punta redonda de 20 a 22 mm. Tipo SH-1 o HR-22 o CV-25. Hebra de  70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,17 de Julio de 2014 04:56,490
49,Acido Poliglicolico calibre 3/0 con 1 aguja SH ó HR-26 o V-20 o MR26,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina 910.  Calibre 3/0, con 1 (una) aguja 1/2 círculo, punta redonda de 25 a 26 mm. Tipo SH, HR-26 o V-20. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,6 de Junio de 2013 07:12,490
50,Acido Poliglicolico rapid calibre 4/0 con 1 aguja FS-2,"Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina tipo Rapid, Calibre 4/0, con 1 (una) aguja 3/8 circulo, reverso cortante de 19 mm. Tipo FS-2. Hebra de 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
51,Acido Poliglicolico calibre 4/0 con 1 aguja SH-1 ó V20 ó CV25 ó HR 22,"Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina Calibre 4/0, con 1 (una) aguja 1/2 circulo, punta redonda de  20 a 26 mm. Tipo SH-1 ó V20 ó CV25 ó HR 22. Hebra de 67 a 70 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
52,Acido poliglicólico calibre 4/0 con aguja SC-20 ó DS-19 ó CE-4/CE-13,"Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina Calibre 4/0, con 1 (una) aguja 3/8 círculo, punta redonda de  15 a 17 mm. Tipo SC-20 ó DS-19 ó CE-4/CE-13. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
53,Acido Poliglicolico calibre 4/0 con 1 aguja RB-1ó HR-17 ó CV-23 ó MR-15,"Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina Calibre 4/0, con 1 (una) aguja 1/2 círculo, corte invertido de  15 a 17 mm. Tipo RB-1ó HR-17 ó CV-23 ó MR-15. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
54,"Acido Poliglicolico calibre 5/0 con 1 aguja RB-1, HR17 ó T-31.","Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina. Calibre  5/0, con 1 (una) aguja 1/2 círculo, punta redonda  de 15 a 17 mm. Tipo RB-1, HR17 ó T-31. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
55,Acido Poliglicolico calibre 5/0 con 1 aguja SH ó HR-26,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina. Calibre  5/0, con 1 (una) aguja 1/2 círculo, punta redonda de 20 a 25 mm. Tipo SH. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
56,Acido Poliglicolico calibre 6/0 con 1 aguja RB-1,"Sobre conteniendo una sutura estéril de Acido Poliglicólico ó Poliglactina Calibre 6/0, con 1 (una) aguja 1/2 circulo, punta redonda de  15 a 17 mm. Tipo RB-1 o HR-17. Hebra de 70 a 75 mm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
57,Acido Poliglicolico calibre 6/0 con 2 agujas S 14 o DO 1.,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina. Calibre  6/0, con 2 (dos) agujas 1/4 círculo, espátula escleral de 8,0 a 8,5 mm. Tipo S-14 ó VLM-8 ó DO-1. Hebra de 30 a 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
58,Acido Poliglicolico calibre 7/0 con 2 agujas TG 140-8 ó LE 140-8.,"Sobre conteniendo una sutura estéril de Acido Poliglicólico o Poliglactina. Calibre 7/0, con 2 (dos) agujas 3/8 círculo, espátula escleral, de 6 a 6,5 mm. Tipo LE 140-8 o TG 140-8 o DLm-6. Hebra de 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
60,Acido Poliglicolico calibre 8/0 con 2 agujas TG 140-8 ó LE 140-8,"Sobre conteniendo una sutura estéril de Acido poliglicólico o poliglactina 910. Calibre 8/0, con 2 (dos) agujas 3/8 circulo, espátula escleral, de 6 a 6,5 mm. Tipo LE 140-8 o TG 140-8 ó DLm-6. Hebra de 20 cm. Que indique método de esterilización y fecha de vencimiento en cada envase.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,490
61,Nylon monofilamento calibre 10/0 con 2 agujas TG 140-8 ó DXDLm6S ó LE 140/8,"Sobre conteniendo una sutura estéril de Nylon Monofilamento - Calibre 10/0 con 2 (dos) agujas 3/8 círculo, espátula escleral de 6,5 a 7 mm. Tipo TG 140-8, LE 140-8 ó  DXDLm6s. Hebra de 30 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
62,"Nylon monofilamento calibre 2/0 con 1 aguja SC-30, DS-30 ó CE-10 ó CE-16","Sobre conteniendo una sutura estéril de Nylon Monofilamento. Calibre 2/0, con 1 (una) aguja 3/8 círculo, corte invertido de 30 mm, con aguja tipo SC-30, DS-30 ó CE-10 ó CE-16. Hebra de 30 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
63,"Nylon monofilamento calibre 3/0 con 1 aguja recta GS 60, KS ó CS-1","Sobre conteniendo una sutura estéril de Nylon Monofilamento. Calibre 3/0, con 1 (una) aguja recta, de 60 mm, tipo KS, CS-1 o GS-60. Hebra de 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
64,"Nylon monofilamento calibre 4/0 con 1 aguja SC-20, DS 19, CE-4 o C-13","Sobre conteniendo una sutura estéril de Nylon Monofilamento. Calibre 4/0, con 1 (una) aguja 3/8 circulo, corte invertido, de 19 a 20 mm. Tipo SC-20 o DS 19 o CE-4 o C-13. Hebra de 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
65,"Nylon monofilamento calibre 5/0 con 1 aguja SC-20, DS-19 ó CE-4 ó C-13","Sobre conteniendo una sutura estéril de Nylon Monofilamento Calibre 5/0, con 1 (una) aguja 3/8 círculo, corte Invertido, de 19 a 20 mm, tipo SC-20, DS-19 ó CE-4 ó C-13. Hebra de 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
66,"Nylon monofilamento calibre 6/0 con 1 aguja P-3, DSM-13 ó P-13 ó PRE-302","Sobre conteniendo una sutura estéril de Nylon Monofilamento - Calibre 6/0, con 1 (una) aguja 3/8 circulo, corte Invertido, de 12 a 13 mm, tipo P-3, DSM-13 ó P-13 ó PRE-302. Hebra de 45 a 70 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
67,Nylon monofilamento calibre 9/0 con 2 agujas TG 140-8 ó DXDLm6S ó SE 140/8,"Sobre conteniendo una sutura estéril de Nylon Monofilamento calibre 9/0, con 2 (dos) agujas 3/8 círculo, espátula escleral de 6,5 a 7 mm. Tipo TG 140-8 ó DXDLm6S ó SE 140/8. Hebra de 30 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,491
68,"Polipropileno calibre 0 con 1 aguja CT-1, HR-37 ó GS-21","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre 0, con 1 (una) aguja 1/2 círculo, punta redonda, de 35 a 37 mm, tipo CT-1, HR-37 ó GS-21. Hebra de 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
69,"Polipropileno calibre 2/0 con 2 agujas MH, HR-37 ó V-26","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre 2/0,  con 2 (dos) agujas 1/2 circulo punta redonda de 35 a 37 mm. Tipo MH, HR-37 ó V-26. Hebra de 90 a 105 mm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
70,"Polipropileno calibre 2/0 con 2 agujas HR-26, ó SH ó V-20 ó MR-25","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre  2/0, con 2 (dos) agujas 1/2 círculo punta redonda de 25 a 26 mm. Tipo HR-26, ó SH ó V-20 ó MR-25. Hebra de 75 a 90 CM. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
71,Polipropileno calibre 3/0 con 2 agujas MH ó V-26 o HR-37,"Sobre conteniendo una sutura estéril de Polipropileno  Monofilamento - Calibre 3/0, con 2 (dos) agujas 1/2 círculo, punta redonda de  35 a 37 mm. Tipo MH ó V26 o HR37. Hebra 90 a 105 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,27 de Noviembre de 2013 06:22,492
72,Polipropileno calibre 3/0 con 2 agujas SH ó HR-26 ó V-20 ó MR-26,"Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre 3/0, con 2 (dos) agujas 1/2 círculo, con punta redonda, de 25 a 26 mm. Tipo SH ó HR-26 ó V-20 ó MR-25. Hebra de  75 a 90 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,7 de Junio de 2013 05:56,492
73,"Polipropileno calibre 4/0 con 2 agujas SH, HR-26 ó V-20 ó MR26","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre  4/0, con 2 (dos) agujas 1/2 círculo punta redonda de 25 a 26 mm. Tipo SH, HR-26 ó V-20. Hebra  75 a 90 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,7 de Junio de 2013 05:57,492
74,"Polipropileno calibre 5/0 con 2 agujas C-1, DR-12 ó CV-11","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre 5/0, con 2 (dos) agujas 3/8 círculo, punta redonda  de 12 a 13 mm. Tipo C-1, DR-12 ó CV-11. Hebra de  90 CM. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
75,Polipropileno calibre 6/0 con 2 agujas C-1 ó DR-12 ó CV-11,"Sobre conteniendo una sutura estéril de Polipropileno - Calibre 6/0, con 2 (dos) agujas 3/8 círculo, punta circular de 10 a 13 mm. Tipo C-1 ó DR-12 ó CV-11. Hebra de 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
76,"Polipropileno calibre 7/0 con 2 agujas BV-1, DR-10 ó CV-1","Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre 7/0, con 2 (dos) agujas 3/8 círculo, con punta redonda, de 19 a 10 mm. Tipo BV-1, DR-10 ó CV-1. Hebra de  60 a 75 CM. Que indique método de esterilización y fecha de vencimiento en cada unidad. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
77,Polipropileno calibre 8/0 con 2 agujas BV-130-5 ó DRm-6 o MV-135-5,"Sobre conteniendo una sutura estéril de Polipropileno Monofilamento - Calibre  8/0, con 2 (dos) agujas 3/8 círculo, punta redonda, de 6 a 6,5 mm, tipo BV-130-5 ó DRm-6 o MV-135-5. Hebra  de 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,492
78,Malla polipropileno 30x30 cm,"Malla Protésica de Polipropileno de 30 x 30 cm. Que indique método de esterilización y fecha de vencimiento en cada malla.
", - ,Unidad, - ,20 de Noviembre de 2014 09:33,744
79,Malla poliglactina 30 x 30,Malla de poliglactina 910 o Ácido Poliglicólico de 30 x 30 cm.- Que indique método de Esterilización y fecha de vencimiento en cada Envase., - ,Unidad, - ,20 de Noviembre de 2014 09:33,744
81,"Seda negra 6/0 c/1 aguja P1, DS-12 o P-10/PRE-1","Sobre conteniendo una sutura estéril de Seda Negra Trenzada - Calibre 6/0, con 1 (una) aguja 3/8 círculo, corte  invertido, de 11 a 12 mm. Tipo P1, DS-12 o P-10/PRE-1.   Hebra de 45 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.  
", - ,Sobre, - ,16 de Septiembre de 2015 08:56,493
82,Seda negra 4/0 c/1 aguja T/SH ó HR-26 ó V-20,"Sobre conteniendo una sutura estéril de Seda Negra, Calibre 4/0 con 1 (una) aguja 1/2 círculo punta redonda, de 20 a 26 mm. Tipo SH ó HR-26 ó V-20. Hebra de 75 cm.  Que indique método de esterilización y fecha de vencimiento en cada unidad.  
", - ,Sobre, - ,16 de Septiembre de 2015 08:56,493
85,Catgut cromado estéril calibre 4/0 con aguja SH-1,"Sobre conteniendo una sutura estéril de Catgut Cromado - Calibre  4/0, con 1 (una) aguja 1/2 circulo, punta redonda, de 22 mm. Tipo SH-1 ó CV-25 ó V-20 ó T5.  Hebra de 70 - 75 CM. Que indique método de esterilización y fecha de Vencimiento en cada envase. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
86,Catgut cromado estéril calibre 3/0,"Sutura de catgut cromado esterilizada por radiación gamma. Calibre 3/0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. 

", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
87,Catgut  cromado estéril calibre 0,"Sutura de catgut cromado esterilizada por radiación gamma. Calibre 0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud.
", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
88,Catgut cromado estéril calibre 1,"Sutura de catgut cromado esterilizada por radiación gamma. Calibre 1, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
89,Catgut cromado estéril calibre 2,"Sutura de catgut cromado esterilizada por radiación gamma. Calibre 2, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. 
", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
90,Catgut simple estéril calibre 4/0 con aguja SH-1,"Sobre conteniendo una sutura estéril de Catgut Simple - Calibre  4/0, con 1 (una) aguja ½ circulo, punta redonda, de 22 a 26 mm. Tipo SH-1 ó V-20 ó T5. Hebra de 70 a 75 cm. Que indique método de esterilización y fecha de vencimiento en cada unidad.  
", - ,Unidad, - ,18 de Febrero de 2011 09:46,496
91,Catgut simple estéril calibre 0 sin aguja,"Sutura de catgut simple esterilizada por radiación gamma. Calibre 0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,496
92,Catgut simple estéril calibre 2/0 sin aguja,"Sutura de catgut simple esterilizada por radiación gamma. Calibre 2/0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,496
93,Catgut simple estéril calibre 3/0 sin aguja,"Sutura de catgut simple esterilizada por radiación gamma. Calibre 3/0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,496
94,Catgut cromado estéril calibre 2/0,"Sutura de catgut cromado esterilizada por radiación gamma. Calibre 2/0, en hebra de 1,5 m. Sin relieves al tacto y sin cambios de calibre a lo largo de toda su longitud. ", - ,Unidad, - ,18 de Febrero de 2011 09:46,495
95,Hilo lino tipo barbous (carrete) calibre 100,"Hilo de lino para sutura en carrete de alta dureza tensil de color blanco marfil x 100 metros Calibre 100  tipo Barbous                                                                                                                              
", - ,Unidad, - ,27 de Julio de 2012 10:13,497
96,Hilo lino tipo barbous (carrete) calibre 80,Hilo de lino para sutura en carrete de alta dureza tensil de color blanco marfil x 100 metros Calibre 80  tipo Barbous , - ,Unidad, - ,27 de Julio de 2012 10:13,497
97,Hilo lino tipo barbous (carrete) calibre 60,Hilo de lino para sutura en carrete de alta dureza tensil de color blanco marfil x 100 metros Calibre 60  tipo Barbous , - ,Unidad, - ,27 de Julio de 2012 10:13,497
99,Hilo lino tipo barbous (carrete) calibre 40,"Hilo de lino para sutura en carrete de alta dureza tensil de color blanco marfil x 100 metros Calibre 40  tipo Barbous 
", - ,Unidad, - ,27 de Julio de 2012 10:13,497
100,Hilo lino tipo barbous (carrete) calibre 20,"Hilo de lino para sutura en carrete de alta dureza tensil de color blanco marfil x 100 metros Calibre 20  tipo Barbous
", - ,Unidad, - ,27 de Julio de 2012 10:13,497
101,Hemoclips LT 200,Cartucho plástico conteniendo no menos de seis grapas metálicas para uso quirúrgico tipo LT 200. Deben ser compatibles con grapadoras Ethicon., - ,Unidad, - ,18 de Febrero de 2011 09:46,498
102,Hemoclips LT 300,Cartucho plástico conteniendo no menos de seis grapas metálicas para uso quirúrgico tipo LT 300. Deben ser compatibles con grapadoras Ethicon., - ,Unidad, - ,18 de Febrero de 2011 09:46,498
103,Acetona para enfermería x litro,"LITROS DE ACETONA EN ENVASES DE 1 LITRO. Cada envase individual deberá tener número de lote y/o partida, impreso en forma indeleble, que no se borre con el roce.
", - ,Envase, - ,12 de Junio de 2012 12:17,500
104,Adhesivo líquido (adhesol) x envase,"Frasco de SOLUCION ADHESIVA tipo Adhesol, constituída por resinas neutras naturales y sintéticas con hidrocarburos livianos en envases de plástico o vidrio color caramelo, de 92 a 98 ml, con tapa a rosca que evite el volcado. Cada envase individual debe tener número de lote y/o partida, fecha de vencimiento impresa en forma indeleble, que no se borre con el roce.
", - ,Envase, - ,18 de Febrero de 2011 09:46,500
105,Agua Oxigenada 10 vol. (Peróxido Hidrógeno) x envase x 250 ml,"Litros  PEROXIDO DE HIDROGENO del 6 al 10% de 10 volúmenes, en envases de 250 mililitros. Los envases deberán ser opacos, de material plástico resistente, con tapón penetrante y tapa externa que evite el volcado. Cada envase individual debe tener lote y/o partida, fecha de vencimiento impresa  (no adherida) en forma indeleble, en el envase o etiqueta original que no se borre con el roce.
", - ,Envase, - ,19 de Septiembre de 2011 07:14,500
106,Alcohol Etílico 96º x 500 ml,"ALCOHOL ETILICO PURO de no menos de 96º, según Farmacopea Arg. VI edición, en envases de plástico o PVC cristal, de 500 ml. Se preferirán envases a rosca con tapón penetrante o pico vertedor. Cada envase individual debe tener Nº de lote y/o partida impresa en forma indeleble, número de certificado del Ministerio de Salud y Acción Social de la Nación.
", - ,Envase, - ,27 de Septiembre de 2013 06:14,500
