Id,Cuit,Gln,Name
61,30702946626,7798075400001,CINETIC LABORATORIES ARGENTINA S.A.
62,30540437455,9990440500004,CLARK Y CIA.
63,30615004843,9990433390001,CLEITON S.R.L.
64,30711185662,9990440450002,CLIMAX ARGENTINA S.R.L.
65,30700976501,9990377630003,COMBE ARGENTINA SRL
66,30546660210,9990401380003,COMISION NACIONAL DE ENERGIA ATOMICA
67,30683701382,7798087280004,CONIFARMA CONSORCIO DE INTEG FARM S.A.
68,30503517767,7792234000002,CRAVERI S A I C
69,33707668089,7798098720001,CSL BEHRING S A
70,30711161461,7798197470005,DAXLEY ARGENTINA S.A.
71,30607462905,9990440470000,DEFUEN S.A.
72,33629282659,7798050060008,DENVER FARMA S A
73,30707157182,9990475760008,DESMARK SRL
74,30697441898,7798226330003,DISTRIBUIDORA SOLDADURA JUNIN SA
75,30503381407,7797290000003,DONATO ZURLO Y CIA SRL
76,30501190620,7795347000006,DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL
77,30606801765,7798063280004,DRAWER S.A.
78,33708573189,9990374970003,DRIBURG COMPANY SA
79,30709874671,7798175480019,DROGUERIA APONOR S.A.
80,30644770865,9990440360004,DROGUERIA DRONOR S.A.
81,30631110203,9990475830008,DROGUERIA MEDICAL ARGENTINA S.R.L.
82,30652870445,9990474550006,DROGUERIA SAM S.A.
83,30712376887,9990452420000,DROMEX BIOTECH SA
84,30547309800,9990440590005,DROMICAP S.A.
85,30711499659,9990475770007,DUCILO S.A.
86,30609703985,7795990000002,ELI LILLY INTERAMERICA INC SUCURSAL ARGENTINA
87,30661753915,7794433000005,ELISIUM S.A.
88,30677835881,9990377640002,ENZIMAS S.A.
89,30606928692,7798064390009,EPICARIS SOCIEDAD ANONIMA
90,30700142643,7798113530004,ERIOCHEM S.A.
91,30647142970,9990475840007,ESTABLECIMIENTO MARIA DEL ROSARIO SRL
92,30540142714,9990377800000,ETHICAL PHARMA S.A.
93,30660637628,7798024440003,EURODERM SRL
94,30708388609,7798122340007,Eurofar SRL.
95,30531967093,7798016920001,EUROFARMA ARGENTINA S.A.
96,30714555150,9990475800001,EXPERIENTIA S.A.
97,30605951518,9990377810009,FAPROMED S.A.
98,30677262393,9990432500005,FARMA SYSTEM S.A.
99,30663411477,9990440480009,FARMACEUTICOS ARGENTINOS S.A.
100,33607215699,9990460630002,FARMAQUIM S.A.
101,30694454409,7798047980005,FERRER ARGENTINA SA
102,30504710412,7791171000007,FINADIET S.A.COM IND FIN E INMOB
103,30707279547,9990440420005,FLEMING S.A.
104,30504113422,7794428000003,FORTBENTON CO. LABORATORIES S.A.
105,30648171494,7798008190009,FRAMINGHAM PHARMA SRL
106,30709177385,7798161990003,FRANCELAB S A
107,30692971953,7798097940004,FRESENIUS KABI S.A.
108,30635815201,7798135620011,FRESENIUS MEDICAL CARE ARGENTINA SA
109,33709061629,9990377650001,FUNDACION CENTRO DIAGNOSTICO NUCLEAR
110,30709694223,7798006870002,G P PHARM SA
111,30500987185,7792183000009,GADOR S A
112,30682454926,7798007730008,GALDERMA ARGENTINA SA
113,30599251509,9990475960002,GASAVEL
114,30543989203,7798233850006,GASES COMPRIMIDOS S A
115,30601596322,9990442180006,GASTON GISCARD SRL
116,30705065167,7798163500002,GEMABIOTECH S.A.U.
117,30655078874,7798015900004,GEMEPE S A
118,30657674296,7798113700001,GEMINIS FARMACEUTICA S.A.
119,30709641871,9990433430004,GEN MED INTERNATIONAL L.L.C.
120,30710121954,7798140250005,GENOMMA LABORATORIES ARGENTINA S.A.
121,30707953329,9990440310009,GENPHARMA S.A.
122,30708484160,7798122020008,GENZYME DE ARGENTINA S.A.
123,30500781986,7792374000009,GERARDO RAMON Y CIA. S.A.I.C.
124,30517130032,7790104000008,GLAXOSMITHKLINE ARGENTINA SOCIEDAD ANONIMA
125,33687679909,7798088120002,GLENMARK GENERICS S.A.
126,30503270230,7795376000008,GOBBI NOVAG S.A.
127,33500619509,7791984000003,GRAMON MILLET S.A.
128,30650805441,7798019610008,GRIFOLS ARGENTINA S.A.
129,30661715665,7798034740001,GRIMBERG DENTALES S.A.
130,30694345456,9990460640001,GRUNENTHAL ARGENTINA S.A.
131,30501395389,7798218100003,GRUPO LINDE GAS ARGENTINA SA
132,30698873325,9990475780006,H Y R ARGENTINA
133,30644703998,9990475720002,HIGIA
134,30708578599,7798081260002,HLB PHARMA GROUP S.A.
135,30709010634,9990475700004,IMMUNO S.A.
136,30546769239,9990440600001,INCASA S.A.
137,30643842722,7798076210005,INDURA ARGENTINA SA
138,33710094409,7798241900007,INGERICS S.A.
139,30548503546,9990460830006,INGRAM LABORATORIO S.A.
140,30607380356,7798018490007,INMUNOLAB SA
141,30501145315,7792796000007,INSTITUTO BIOLOGICO ARGENTINO S A I C
142,30645104060,7798178580006,INSTITUTO BIOLOGICO CONTEMPORANEO S.A.
143,30528919711,7795343000000,INSTITUTO MASSONE S. A.
144,33501112289,7795344000009,INSTITUTO SANITAS ARG S A
145,30501051825,7790839000007,INSTITUTO SEROTERAPICO ARGENTINO S.A.I.C.
146,30631421322,9990475650002,INTERBELLE COSMETICS S.A.
147,30547838307,7795380000001,INVESTI FARMA S A
148,30559807970,7798033100004,IRAOLA Y CIA S A
149,33501707029,7795326000003,IVAX ARGENTINA SOCIEDAD ANONIMA
150,30598129246,7791647000005,JANSSEN CILAG FARMACEUTICA SOCIEDAD ANONIMA
151,33597021319,9990474540007,JOHN WYETH LABORATORIOS S.A.
152,30598498500,9990377660000,JOHNSON & JOHNSON MEDICAL S.A.
153,30500572309,7790011000009,JOHNSON Y JOHNSON DE ARGENTINA S A COM E IND
154,30658893633,7798236560001,JUSTESA IMAGEN ARGENTINA SA
155,33708488939,7798131890005,KILAB S.R.L.
156,30574564367,7795360000007,KLONAL S R L
157,30654926243,9990390990009,LA SERRANITA S.A.
158,20013906379,9990440350005,LABINCA
159,30706244413,7798086730005,LABOPHARMA PHARMACEUTICAL GROUP SA
160,33559584229,9990433200003,LABORATORIO ARGENMEX S.A.
161,30708121688,9990433440003,LABORATORIO ARGENTINO DE MEDICAMENTOS S.A.
162,30646015355,7798011650002,LABORATORIO AUSTRAL S A
163,30707838333,9990474500001,LABORATORIO CORBAPLANT
164,30530611171,9990432510004,LABORATORIO CULTURAL ABADIA DEL NIÑO DIOS ASOCIACION CIVIL
165,30709716561,9990440250008,LABORATORIO DE ELECTROQUIMICA MEDICA S.R.L.
166,30663181838,9990385250002,LABORATORIO DE ESPECIALIDADES MEDICINALES FORMOSA SA LAFORMED S A
167,30698237097,7798179350004,Laboratorio de Especialidades Medicinales S.E.
168,30715647822,7798326190002,LABORATORIO DEL FIN DEL MUNDO SAPEM
169,30663785091,9990402810004,LABORATORIO DICOFAR SRL
170,30529900747,7795327000002,LABORATORIO DOMINGUEZ S A
171,33580025779,7798061750004,LABORATORIO DOSA S.A.
172,30697736154,7797416000009,LABORATORIO ECZANE PHARMA S A
173,30651995708,7792369000007,LABORATORIO EDGARDO JORGE GEZZI
174,30544640212,7791848000002,LABORATORIO PHOENIX S.A.
175,30500571485,7796285000004,LABORATORIO ELEA S.A.C.I.F.
176,30525591855,7798024740004,LABORATORIO FARMACEUTICO ARGENTINO S.A.
177,30537234845,7798006300004,LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.
178,33605870649,9990475810000,LABORATORIO HEXA S.A.
179,30661399240,7795364000003,LABORATORIO INCAICO SA
180,30707618716,7798181660009,LABORATORIO INDUSTRIAL FARMACEUTICO SOCIEDAD DEL ESTADO
181,30501676892,7793569000002,LABORATORIO INTERNACIONAL ARGENTINO S.A
182,30708694173,7798180920005,LABORATORIO KEMEX S.A.
183,30710548567,9990380980003,LABORATORIO LABORIT SRL
184,30662998970,9990381030004,LABORATORIO LEPETIT S.A.
185,30661728597,7795367000000,LABORATORIO LKM S.A.
186,30584077472,9990460650000,LABORATORIO MI FLORA S.R.L.
187,30643183079,9990475890002,LABORATORIO NEW PHARMA S.A.
188,33708246269,7798113690005,LABORATORIO OMICRON S.A.
189,30525858274,7795373000001,LABORATORIO PABLO CASSARA S R L
190,30618834995,9990433410006,LABORATORIO PHARMAGREEN
191,30709502235,7798156390009,LABORATORIO PRETORIA SRL
192,30708567929,7798124760001,LABORATORIO Q-PHARMA ARGENTINA S.A.
193,30605962226,9990433190007,LABORATORIO RIGO S.A.
194,20335766084,9990440370003,LABORATORIO ROMECA
195,30709577812,7798239770001,LABORATORIO RONTAG S.A.
196,30678715022,9990474580003,LABORATORIO SAN ROQUE S.A.
197,30712481656,7798142290009,LABORATORIO SCHAFER S.A.
198,30661469192,7795372000002,LABORATORIO VANNIER S.A.
199,30682667709,7798035310005,LABORATORIO VARIFARMA S.A.
200,30604385608,9990474620006,LABORATORIO WALKER S.R.L.
201,30501555149,9990493690004,LABORATORIO YORK S.A.I.C.F.I.
202,30708940786,9990440330007,LABORATORIOS ASMOPUL S.A.
203,30590151943,9990475710003,LABORATORIOS ADESIL S.A.
204,30504507323,7793742000003,LABORATORIOS ANDROMACO SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL INMOBILIARIA
205,30561989865,7798081760007,LABORATORIOS APOLO SA
206,30610562228,7798083520005,LABORATORIOS ASPEN S.A.
207,30570760897,7798133450009,LABORATORIOS BACON S A I C
208,30516024840,7790375000004,LABORATORIOS BAGO S A
209,30516922164,9990475820009,LABORATORIOS BEAUTEMPS S.A.
210,30500547290,7792175000000,LABORATORIOS BERNABO SOCIEDAD ANONIMA
211,30501521880,7795328000001,LABORATORIOS BETA SOCIEDAD ANONIMA
212,33645293989,9990453230004,LABORATORIOS BRITANIA SA
213,30539932183,7791992000002,LABORATORIOS BUXTON S.A.
214,33644313749,7795359000001,LABORATORIOS CABUCHI S.A.
215,30501596082,7791909000002,LABORATORIOS CASASCO S A I C
216,30580271479,9990440410006,LABORATORIOS CELTIA S.A.
217,30504392496,7795330000006,LABORATORIOS CETUS SRL
218,30658919403,9990440620009,LABORATORIOS CORDOBA S.A.
219,30536237778,7795331000005,LABORATORIOS DALLAS S.A.
220,30500671013,7798028620005,LABORATORIOS DR MADAUS Y CO S.A.
221,30520581258,7795361000006,LABORATORIOS DUNCAN SA
222,33504284439,9990433380002,LABORATORIOS ESME S.A.I.C.
223,30633895208,9990433210002,LABORATORIOS ESSEX S.A.
224,33702248189,7798074280000,LABORATORIOS EXCELENTIA SA
225,30534475795,7795332000004,LABORATORIOS FABRA S.A.
226,30538883529,7793094000003,LABORATORIOS FELIPE BAJER SAIC
227,30503746235,7798025130002,LABORATORIOS FERRING SOCIEDAD ANONIMA
228,30642976881,9990375400004,LABORATORIOS FRASCA SRL
229,30503569627,9990474510000,LABORATORIOS GORDON SACIFIA
230,30558783970,9990475880003,LABORATORIOS HEREDIA DE PRONAT SA
231,30621208760,9990493650008,LABORATORIOS HETTY S.R.L.
232,30503720929,7798091910003,LABORATORIOS IMA S A I C
233,30555847846,7798024550009,LABORATORIOS IMVI ( INSTITUTO MEDICO VETERINARIO INTEGRAL) S.A.
234,30700988682,7798168990006,LABORATORIOS INGENS S.A.
235,30710245807,9990474600008,LABORATORIOS INPAR S.A.
236,30712205330,7798209710006,LABORATORIOS JAYOR SRL
237,30647810426,9990440460001,LABORATORIOS K-DIAL SRL
238,30503049305,9990440650006,LABORATORIOS LACEFA S.A.I.C.A.
239,30547086534,9990493680005,LABORATORIOS LANDO S.A.C.I.
240,30708307544,9990428210000,LABORATORIOS LANPHARM S.A
241,33642230099,9990475690008,LABORATORIOS LEDERLE - DIVISION DE CYANAMID DE ARGENTINA S.A.
242,30535843593,7795333000003,LABORATORIOS LERSAN S A I C F E I
243,30702070682,7798074620004,LABORATORIOS MAR S.A.
244,30515900914,7795334000002,LABORATORIOS MONSERRAT Y ECLAIR S.A.
245,30641687800,9990420400003,LABORATORIOS NOVARA SRL
246,30617493590,9990381220009,LABORATORIOS OTEMEN SA
247,32932523418,9990433400007,LABORATORIOS PASTEURINE S.A.
248,30501902922,7798006880001,LABORATORIOS PAYLOS S R L
249,30679574821,7798008290006,LABORATORIOS PHARMAMERICAN SRL
250,30640197435,7798021110008,LABORATORIOS PHARMATRIX DIVISION DE THERABEL PHARMA S.A.
251,30650580024,9990381180006,LABORATORIOS PIPERPOL SRL
252,30515488789,9990475920006,LABORATORIOS PLOS S.A.
253,30503832328,7795368000009,LABORATORIOS POEN SOCIEDAD ANONIMA COMERCIAL INDUSTRIAL FINANCIERA E INMOBILIARI
254,30605456681,9990381010006,LABORATORIOS POLYBIUS SA
255,30708899050,7798154680003,LABORATORIOS PUNTANOS S.E.
256,30502094196,7795362000005,LABORATORIOS RAFFO S A
257,33715352759,7798321620009,LABORATORIOS RAMALLO S.A.
258,30713909706,9990394190009,LABORATORIOS REDIA S.A.
259,30503637665,9990440490008,LABORATORIOS RICAR SA
260,30504294222,7795336000000,LABORATORIOS RICHET S A
261,30501152826,7795348000005,LABORATORIOS RICHMOND SACIF
262,30540080298,9990440260007,LABORATORIOS RIOPLATENSE S.A.
263,30501327049,9990474590002,LABORATORIOS SCHVARTZ GIORDANO S.R.L.
264,33505476099,7795354000006,Laboratorios Szama S.A.
265,30517226676,7798151640000,LABORATORIOS TAURO SOCIEDAD ANONIMA
266,33500867979,7795337000009,LABORATORIOS TEMIS LOSTALO S A
267,30695599389,7794863000002,LABORATORIOS VALMAX SOCIEDAD ANONIMA
268,30636707380,7791939000003,LABORATORIOS VENT 3 SRL
269,30649685025,9990475660001,LABORATORIOS WACO S.A.C.E.I.
270,30501762438,7798164130000,LABORATORIOS WELTRAP S.A.
271,33708366019,9990407780005,LABSA SRL
272,30580960428,7798048080001,LADECE S.A.
273,30681071381,7798021290007,LAFEDAR SOCIEDAD ANONIMA
274,30709369098,9990475860005,LAFITAR LABORATORIO FITOTERAPICO ARGENTINO
275,30714470902,9990413210008,LANCASTER PHARMA SA
276,30536602913,7798183070011,LAVIMAR S A
277,30559285117,9990440610000,LEDERCO S.A.
278,30708215542,9990375200000,LEMAX LABORATORIOS SRL
279,20945269090,9990452830007,LEMONIER S.A.
280,30570072834,9990440280005,LITEX TECHNOLOGY S.A.
281,30707747257,7798092890007,LUNDBECK ARGENTINA S.A.
282,30707199454,7798173940003,M R PHARMA S A
283,30702138457,7798020930003,MAIGAL CORPORATION
284,30545591835,7798007120007,MALLINCKRODT MEDICAL ARGENTINA LIMITED
285,30687261158,9990433420005,MARCONI MEDICAL SYSTEMS SALES CORPORATION
286,30554643341,9990381020005,MARIO A CRICCA SA
287,30708299096,7798137190000,MAX VISION S.R.L.
288,30682628223,9990440270006,MAXFAR S.A.
289,20060270911,9990440340006,MEDIC`S ARGENTINA DE EMILIO LUIS NICOLAS PFIRTER
290,30600193275,7798030230018,MEDIPHARMA SOCIEDAD ANONIMA
291,30503832565,7790273000007,MERCK S A
292,30501222913,7798024570007,MERLINO Y COMPANIA SOCIEDAD COLECTIVA
293,30503105574,9990374960004,MERTENS SA
294,30711884994,7798173340001,MERZ ARGENTINA SA
295,30708833920,7798138130005,MICROFAR S.A.
296,30519887335,7791829000007,MICROSULES ARGENTINA S A DE SERVICIOS COM IND INMB AGROPECUARIA
297,30503508725,9990483260002,MONSANTO ARGENTINA S A I C
298,30700743140,7798084680005,MONTE VERDE S A
299,30709284173,9990475970001,MORRITH S.A. ARGENTINA
300,30714089567,7798313410007,MS SYNTHON BAGO SA
301,30503403079,7790330000001,MSD ARGENTINA S R L
302,30711922861,7798299850002,MUNDIPHARMA PHARMACEUTICALS ARGENTINA SRL
303,30659912755,9990381190005,MUNTAL SA
304,30610753376,9990381200001,NAF SA
305,30644513145,7795379000005,NATUFARMA S.A.
306,30710183631,9990440290004,NATURAL HEALTH S.A.
307,30505196402,9990474610007,NEWARK ESPECIALIDAES MEDICINALES S.R.L.
308,30707354379,7798112470004,NEXO PHARMACEUTICAL GROUP S A
309,30679618292,7798188610007,NORGREEN S.A.
310,30709467243,7798129410000,NOVA ARGENTIA S.A.
311,30516620397,7795306000016,NOVARTIS ARGENTINA S A
312,30693286553,7798058930006,NOVO NORDISK PHARMA ARGENTINA S A
313,30505109267,9990381210000,NOVOCAP SA
314,30707092781,9990475750009,OHMILCE
315,30703254361,9990487700009,OMEDIR S.A.
316,30502149586,9990381380000,ORGANON ARGENTINA SAQIYC
317,30521298495,7793236000007,ORIENTAL FARMACEUTICA INDUSTRIAL COMERCIAL E INMOBILIARIA SOCIEDAD ANONIMA
318,30541872988,7798167580000,OXAPHARMA S.A.
319,30694811767,7798220360006,OXY NET SA
320,30602087618,9990440640007,PACEMAKER S.R.L.
321,30658127094,7798051850004,PANALAB S A ARGENTINA
322,33586640459,9990432470001,PAR SOL LABORATORIOS S.A.
323,30694375681,9990475930005,PAULA S.A.
324,30690984772,7798152250000,PC GEN S.A.
325,30707488529,7798094760001,PENN PHARMACEUTICALS S.A.
326,30515690405,9990381390009,PEREZ HNOS Y CIA SRL
327,30708693223,7798122840002,PERMATEC LABORATORIO MEDICINAL S.A.
328,30503518518,7795381000000,PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA
329,30501104236,9990484650000,PHARMACIA & UPJOHN AB
330,20086041074,9990484660009,PHARMACIA ARGENTINA S.A.
331,33707573169,7798103390007,PHARMADORF S.A.
332,33702011219,9990381040003,PIERRE FABRE DERMO COSMETIQUE ARGENTINA SA
333,30500883428,7795325000004,P.L. RIVERO Y COMPAÑIA SOCIEDAD ANONIMA
334,30578780676,9990374540008,PRAXAIR ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA
335,30707293655,7798080770007,PRAXIS PHARMA S.A
336,30615265450,7792300000004,PROCTER & GAMBLE ARGENTINA S.R.L.
337,30540026323,7798016550000,PRODUCTOS FARMACEUTICOS DR GRAY S ACOM IND
338,33590029349,9990432460002,PRODUCTOS FARMACEUTICOS FIDEX S.A.
339,30517360356,9990474560005,PRODUCTOS HIGATE S.A.
340,30527444280,7792371000002,PRODUCTOS ROCHE S A QUIMICA E INDUSTRIAL
341,30652853834,7798167870187,PRODUMEDIX INTERNACIONAL SA
342,30709523992,9990474630005,PROMECO S.A.
343,30619780635,9990381230008,PROMEDON SA
344,30612033699,9990460660009,PUEBLA S.R.L.
345,30525365731,7795319000003,PURISSIMUS S A
346,33709207119,7798183830004,QUALITY PHARMA SA
347,30501257954,7795349000004,QUIMICA ARISTON S A I C I F
348,30567736535,7798038280008,QUIMICA LUAR S R L
349,30503805789,7792819000007,QUIMICA MEDICAL ARGENTINA S.A.C.I.
350,30535994540,7795378000006,QUIMICA MONTPELLIER S A
351,30700342596,9990474570004,RATIOPHARM S.A.
352,30540576870,7791763000002,RAYMOS SOC ANON COM E IND
353,30500750215,7791130000000,RECKITT BENCKISER ARGENTINA S.A.
354,33697248809,9990475950003,RHODIA ARGENTINA QUIMICA Y TEXTIL S.A.I.C. Y F.
355,33681450209,9990475870004,RHONE POULENC RORER ARGENTINA S.A.
356,30625149505,7798144560001,RIGECIN LABS S.A.
357,30590922168,7798136850004,RODRIGUEZ Y VIDAL S.R.L.
358,30500938125,7795345000008,ROEMMERS S A I C F
359,30707002529,7798090760005,RONNET LABORATOIRES S.A.
360,30707382763,7798118060001,ROSPAW S.R.L.
361,30711191875,7798161930009,ROSSMORE PHARMA S.A.
362,30500690530,7793213000006,ROUX OCEFA S A
363,30504818825,7798067990008,ROVAFARM ARGENTINA S A
364,33590050569,7798015780002,SANOFI PASTEUR S.A.
365,30501445416,7795312000000,SANOFI-AVENTIS ARGENTINA SOCIEDAD ANONIMA
366,30523179523,7798052710000,SANT GALL FRIBURG Q.C.I.S.R.L.
367,30669159885,7798032930008,SAVANT PHARM S.A.
368,30503747533,9990475850006,S.C. JOHNSON & SON DE ARGENTINA S.A.I.C.
369,33501016239,9990474530008,SCHERING ARGENTINA S.A.I.C.
370,20285736138,9990475900008,SCLAVO S.P.A.
371,30707373942,7798162050003,SCOTT PHARMA S.A.
372,30589302253,7795228000002,SERTEX S.A.
373,33537025269,7795384000007,SERVIER ARGENTINA S.A.
374,30708282150,7798133340003,SHIRE HUMAN GENETIC THERAPIES S.A.
375,30501317019,7795356000011,SIDUS SOCIEDAD ANONIMA
376,30711720487,7798184640008,SINERGIUM BIOTECH S.A.
377,30528206367,9990440660005,SINTESINA S.A.
378,30503526871,7795375000009,Soubeiran Chobet S.R.L.
379,30501483385,7795366000001,SPEDROG CAILLON S.A.I C
380,30599945810,9990432480000,STIEFEL ARGENTINA SA
381,30661407995,9990460440007,SUBITON LABORATORIES S.A.
382,30709840254,7798216190006,SURAR PHARMA SA
383,30503646605,9990440510003,SYNCRO ARGENTINA S.A.Q.I.C.I.F.
384,30639499622,7795371000003,T R B PHARMA S A
385,30501602996,7795300000036,TAKEDA PHARMA S.A.
386,30714600636,9990441990002,TEA FREE SRL
387,33707691269,7798138890008,TECHSPHERE DE ARGENTINA S.A.
388,30661816429,9990441260006,TECNO AGRO VIAL SA
389,30642507687,7798190250000,TECNONUCLEAR S.A.
390,30710401116,7798217920008,TECSOLPAR SA
391,30708064293,7798113890009,TETRAFARM S.A.
392,30589864642,7793397000007,TUTEUR S A C I F I A
393,30503658239,9990440670004,TYPEN S.A.I.C.F.
394,30537515801,9990381400005,UCB UNION CIENTIFICA BELGO ARGENTINA SACI
395,30712273832,7798312520004,UGAL FARMACEUTICA SA
396,30712528946,7798187300015,ULTRA PHARMA S.A.
397,30645292681,9990475790005,ULTRAFIT S.R.L.
398,30600124702,9990381240007,UNIC COMPANY SRL
399,30546670623,7798028710003,UNIVERSIDAD NACIONAL DE CORDOBA
400,33712211879,9990428850008,VANGUARDIA EN PRODUCTOS FARMACÉUTICOS (VANPROFARMA) S.A.
401,30515809607,7798072510000,VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA
402,30625046455,9990432520003,VICROFER S.R.L.
403,33503575219,9990475910007,VISION CENTER S.A.
404,30502509434,9990460670008,VOLPINO LABORATORIOS S.A.C.I.
405,30639588099,9990441210001,WELLCOME ARGENTINA LTD.
406,30711313571,9990475670000,WELT S.A.I.C.
407,30500573607,9990493700000,WHITEHALL LABORATORIOS S.A.
408,30691021706,7798152930001,WUNDER PHARM S.R.L.
409,33503780769,9990474520009,WYETH S.A.
410,30529994393,7792840000007,3M ARGENTINA S.A.C.I.F.I.A.
411,30700473658,100000,Becton Dickinson SRL
412,30710290950,10001,Insumos Médicos Patricios S A
413,11111111111,1234568,ARROW
414,11111111112,74679463,LABORATORIO BARCAT S.A. 
415,11111113,54646765,DEPLAMED S.R.L.
416,11111114,76871545,WELL LEAD MEDICAL CO
417,11111116,35498163,K-KAUTION
418,35765267,31546765,Cirugia Argentina S. A. 
419,98785556,46562525,Propato Hnos SAIC
420,54376745,98455451,IGALTEX SRL
421,66284523,54876767,HOLLISTER LATIN AMERICA INC
422,54985260,37984526,J.C. MÜLLER
423,63359735,54482375,INTER LIFE SRL
424,76452894,37526257,INSUMOS MEDICINALES SRL
425,52565436,67564216,Marcris Medical
426,67527652,9872372,Topsal S.A.
427,6852656,57929782,Vendsur SH
428,65264552,26752652,FAVE Alfredo Omar Potenza
429,76526743,97543973,LABORATORIO LENDO
430,642642,9252579,NIPRO MEDICAL CORPORATION ARGENTINA
431,65267207,27520952,LIBUS
432,67567527,52765267,AEROMEDICAL  S A
437,6757652,6520242,PRINTEX
438,2976057,27597529,COVIDIEN ARGENTINA SRL
439,25779852,78276762,POLYMED
440,7526752,416790,HIPOALERGIC RIASA S.A.
441,65627675,5675353,LABORATORIO GAVAMAX S.A.
442,35726345,75387653,ALLPRO
443,657469714565,6876743543,AJEC
444,676765465,35867654654,PADEMED SRL
445,30515608210,10000,NORTHIA S.A.C.I.F.I.A
448,30501676893,7793569000019,FADA PHARMA
449,27982975297,564596742672,AMBU
450,75452764576,765268638,DOMINGO MANGONE SA
451,69874674646,346746574,CONTINENTAL
452,54657654654,725454646,HOSPIRA
453,257656387378,675326873,ALFA DOVES
454,3526752768,456426746,Euro Swiss SA
455,23743565785,420654656,PROCTER AND GAMBLE ARGENTINA SRL
